customer_id,signup_date,plan,monthly_value,last_active_date,churned,churn_reason,support_tickets,engagement_score
C0001,2024-12-27,pro,29,2026-05-15,0,,0,0.38
C0002,2025-07-21,pro,29,2026-05-15,0,,0,0.96
C0003,2024-11-08,pro,29,2026-05-15,0,,0,0.37
C0004,2024-02-11,pro,29,2026-05-15,0,,0,0.47
C0005,2025-02-24,premium,59,2026-05-15,0,,2,0.66
C0006,2024-05-22,premium,59,2026-05-15,0,,0,0.29
C0007,2024-01-02,premium,59,2024-01-26,1,not_using,1,0
C0008,2025-01-21,pro,29,2026-05-15,0,,2,0.75
C0009,2025-08-12,essentials,12,2026-05-15,0,,0,1
C0010,2024-08-25,pro,29,2026-01-19,1,other,3,0.35
C0011,2024-05-09,pro,29,2026-05-15,0,,0,0.41
C0012,2025-06-25,essentials,12,2026-05-15,0,,0,0.04
C0013,2025-05-16,pro,29,2026-05-15,0,,3,0.56
C0014,2025-02-11,essentials,12,2026-05-15,0,,1,0.5
C0015,2024-05-06,essentials,12,2025-07-03,1,missing_feature,1,0.52
C0016,2024-03-21,essentials,12,2026-05-15,0,,3,0.17
C0017,2025-08-16,essentials,12,2026-05-15,0,,0,1.0
C0018,2024-08-10,pro,29,2024-12-28,1,competitor,0,0.06
C0019,2024-08-01,premium,59,2025-03-30,1,missing_feature,0,0.4
C0020,2024-01-16,pro,29,2025-03-03,1,competitor,0,0.61
C0021,2024-06-22,essentials,12,2026-05-15,0,,1,0.61
C0022,2025-04-22,premium,59,2026-05-15,0,,0,0.37
C0023,2024-01-29,premium,59,2026-05-15,0,,0,0.56
C0024,2024-10-04,essentials,12,2026-05-15,0,,0,0.44
C0025,2025-08-18,essentials,12,2026-05-15,0,,0,0.49
C0026,2024-12-12,essentials,12,2026-05-15,0,,1,0.45
C0027,2024-01-24,pro,29,2026-05-15,0,,3,0.65
C0028,2024-11-17,premium,59,2026-05-15,0,,2,0.67
C0029,2025-02-22,pro,29,2026-05-15,0,,1,0.6
C0030,2025-06-30,essentials,12,2026-05-15,0,,0,0.75
C0031,2025-01-26,premium,59,2025-02-27,1,missing_feature,2,0.33
C0032,2024-01-17,essentials,12,2026-05-15,0,,1,0.86
C0033,2025-04-14,essentials,12,2026-05-15,0,,3,0.68
C0034,2024-12-22,essentials,12,2026-05-15,0,,1,0.2
C0035,2025-04-14,essentials,12,2025-10-27,1,other,0,0.27
C0036,2025-06-14,essentials,12,2026-05-15,0,,0,0.61
C0037,2024-09-13,essentials,12,2026-05-15,0,,2,0.44
C0038,2024-01-26,pro,29,2026-05-15,0,,4,0.68
