week_start,revenue,paid_search_spend,paid_social_spend,email_sends,tv_grps,promo_active,holiday
2024-01-01,79993,9112,7669,171331,229,0,0
2024-01-08,82555,11398,5219,169895,195,0,0
2024-01-15,79441,8509,5182,201909,234,0,0
2024-01-22,94994,8335,9371,124998,172,0,0
2024-01-29,87724,7553,4023,177354,395,0,0
2024-02-05,109103,8403,7435,286979,227,1,0
2024-02-12,98007,8888,5963,195443,140,0,0
2024-02-19,91423,8901,6026,203930,256,0,0
2024-02-26,83405,9512,6973,179977,305,0,0
2024-03-04,74879,9122,3136,170204,188,0,0
2024-03-11,82308,11888,4629,143191,165,0,0
2024-03-18,99334,9536,8054,148432,348,0,0
2024-03-25,69261,8936,5893,172112,143,0,0
2024-04-01,78319,7574,4951,213175,173,0,0
2024-04-08,81041,6878,4848,202430,194,0,0
2024-04-15,92452,7880,6063,197316,258,0,0
2024-04-22,94528,10289,9049,220205,263,0,0
2024-04-29,100347,7622,8821,318316,17,1,0
2024-05-06,99021,7336,7743,210994,180,0,0
2024-05-13,84958,7527,6894,221844,237,0,0
2024-05-20,95358,10707,3673,179808,91,0,0
2024-05-27,85237,11760,8720,216722,188,0,0
2024-06-03,86951,7597,4502,180049,176,0,0
2024-06-10,77302,7619,6867,142656,225,0,0
2024-06-17,89467,8022,6086,165815,202,0,0
2024-06-24,78629,5940,1859,222957,389,0,0
2024-07-01,101080,11482,7591,173282,91,0,0
2024-07-08,78855,8994,3958,197724,225,0,0
2024-07-15,105977,13402,6944,178695,222,0,0
2024-07-22,121419,13903,8120,236024,303,1,0
2024-07-29,83672,7015,4152,204548,260,0,0
2024-08-05,84720,8441,5661,185835,237,0,0
2024-08-12,84428,12543,5209,178820,176,0,0
2024-08-19,74931,6085,5193,181077,56,0,0
2024-08-26,90531,11547,8904,155876,230,0,0
2024-09-02,81034,10935,4795,143647,273,0,0
2024-09-09,73300,1919,5772,181388,214,0,0
2024-09-16,96872,10179,7533,205589,375,0,0
2024-09-23,74803,4002,6562,161657,77,0,0
2024-09-30,74416,6638,6039,156427,98,0,0
2024-10-07,91998,8713,5123,143624,323,0,0
2024-10-14,105554,2777,9110,276271,300,1,0
2024-10-21,64409,8408,3599,187777,105,0,0
2024-10-28,71931,6608,4631,138960,120,0,0
2024-11-04,78306,8623,3855,205411,261,0,0
2024-11-11,86079,9610,4618,167600,134,0,0
2024-11-18,128859,8436,13177,185453,357,0,1
2024-11-25,129995,10328,7413,194785,310,0,1
2024-12-02,83912,12955,6552,206639,175,0,0
2024-12-09,85189,8921,9750,206506,230,0,0
2024-12-16,127775,12396,12484,191407,263,0,1
2024-12-23,129012,13542,10772,113333,374,0,1
2024-12-30,121011,7189,6797,171575,263,0,1
2025-01-06,92723,9114,8122,246890,242,1,0
2025-01-13,87003,3926,6829,224184,154,0,0
2025-01-20,84036,10218,5000,192639,316,0,0
2025-01-27,84358,9644,7098,154905,287,0,0
2025-02-03,79511,10611,6642,159564,186,0,0
2025-02-10,96235,13592,4686,157655,296,0,0
2025-02-17,83848,9950,4365,145092,188,0,0
2025-02-24,79143,10504,7824,194227,260,0,0
2025-03-03,74229,5298,4826,177429,144,0,0
2025-03-10,89329,8758,5173,177166,285,0,0
2025-03-17,90721,7778,6538,197394,216,0,0
2025-03-24,72744,5563,8061,147303,251,0,0
2025-03-31,103361,10799,9755,238941,253,1,0
2025-04-07,83657,11159,5894,165778,128,0,0
2025-04-14,77418,9674,7477,158201,171,0,0
2025-04-21,80847,7023,5995,194015,264,0,0
2025-04-28,83797,5996,9034,180823,172,0,0
2025-05-05,80576,8405,7438,199548,109,0,0
2025-05-12,94259,9973,5826,207432,119,0,0
2025-05-19,83311,9316,3495,218229,122,0,0
2025-05-26,79359,8934,6913,203217,53,0,0
2025-06-02,87806,6498,5221,184886,426,0,0
2025-06-09,100486,6490,11087,208245,194,0,0
2025-06-16,89577,10870,7959,134513,331,0,0
2025-06-23,107515,9469,9228,320114,313,1,0
2025-06-30,84867,7755,4867,177901,233,0,0
2025-07-07,89813,8437,4928,158920,233,0,0
2025-07-14,84544,10005,5627,205209,296,0,0
2025-07-21,89220,6305,7768,244409,237,0,0
2025-07-28,82640,8636,8358,136036,215,0,0
2025-08-04,77089,3887,5683,182026,207,0,0
2025-08-11,83746,7993,7110,131092,116,0,0
2025-08-18,94856,9829,7832,136932,294,0,0
2025-08-25,85601,9115,4425,208779,297,0,0
2025-09-01,93912,9569,7132,210540,255,0,0
2025-09-08,85849,5855,5475,128329,281,0,0
2025-09-15,101917,9531,11486,231552,319,1,0
2025-09-22,77537,4724,5494,164281,182,0,0
2025-09-29,87570,9495,7323,158197,116,0,0
2025-10-06,89887,11272,7867,197627,63,0,0
2025-10-13,78832,7193,8061,226933,173,0,0
2025-10-20,84765,7796,7066,199137,122,0,0
2025-10-27,67791,6646,5265,217867,195,0,0
