order_id,customer_id,order_date,order_value,plan,discount_code
O00001,C0042,2025-03-19,105.65,essentials,SPRING10
O00002,C0013,2025-07-07,147.38,premium,
O00003,C0012,2025-08-11,110.83,essentials,
O00004,C0008,2025-10-17,45.48,essentials,
O00005,C0008,2025-10-23,147.99,essentials,
O00006,C0072,2025-03-10,82.29,essentials,
O00007,C0040,2025-10-14,199.18,essentials,
O00008,C0082,2025-04-07,100.67,pro,
O00009,C0008,2025-11-13,63.72,pro,
O00010,C0041,2025-08-27,147.99,essentials,
O00011,C0102,2025-04-03,173.18,essentials,
O00012,C0068,2025-09-11,212.28,pro,
O00013,C0010,2025-03-02,131.65,essentials,
O00014,C0120,2025-09-08,111.62,premium,
O00015,C0072,2025-10-21,193.18,pro,
O00016,C0045,2025-11-01,128.26,pro,
O00017,C0012,2025-05-19,123.25,pro,
O00018,C0090,2025-06-08,161.66,premium,SPRING10
O00019,C0037,2025-07-17,214.92,essentials,NEWYEAR
O00020,C0046,2025-03-28,153.62,essentials,
O00021,C0037,2025-03-08,181.92,essentials,NEWYEAR
O00022,C0064,2025-02-11,54.93,essentials,
O00023,C0018,2025-08-09,209.8,essentials,
O00024,C0046,2025-12-16,214.29,premium,
O00025,C0023,2025-03-19,69.49,essentials,
O00026,C0076,2025-04-04,76.33,essentials,
O00027,C0048,2025-11-09,143.73,premium,
O00028,C0066,2025-11-13,163.4,pro,
O00029,C0112,2025-12-15,195.13,essentials,
O00030,C0014,2025-09-04,158.81,essentials,
O00031,C0027,2025-08-14,54.03,essentials,
O00032,C0001,2025-10-18,51.58,essentials,
O00033,C0004,2025-02-06,212.1,pro,
O00034,C0033,2025-06-27,151.71,essentials,
O00035,C0063,2025-08-27,124.65,essentials,
O00036,C0096,2025-06-25,182.36,essentials,
O00037,C0067,2025-01-12,63.56,premium,
O00038,C0089,2025-10-06,220.94,pro,
O00039,C0083,2025-02-16,172.56,essentials,
O00040,C0022,2025-07-02,189.37,pro,SPRING10
O00041,C0043,2025-11-22,67.52,pro,FRIEND20
O00042,C0110,2025-04-10,196.95,pro,
O00043,C0030,2025-04-13,132.92,essentials,
O00044,C0004,2025-05-24,122.84,essentials,
O00045,C0045,2025-08-17,197.5,pro,
O00046,C0047,2025-02-11,66.94,essentials,
O00047,C0027,2025-09-05,156.54,premium,SPRING10
O00048,C0062,2025-12-01,94.37,pro,SPRING10
O00049,C0016,2025-07-18,191.67,pro,
O00050,C0023,2025-08-11,193.19,essentials,SPRING10
O00051,C0093,2025-07-22,120.82,pro,
O00052,C0021,2025-03-29,238.47,essentials,
O00053,C0060,2025-12-02,50.45,pro,FRIEND20
O00054,C0085,2025-06-29,52.61,pro,
O00055,C0103,2025-11-29,40.82,pro,
O00056,C0112,2025-04-10,201.41,essentials,
O00057,C0038,2025-09-14,71.4,pro,
O00058,C0054,2025-03-09,31.52,pro,NEWYEAR
O00059,C0085,2025-10-26,198.94,pro,SPRING10
O00060,C0113,2025-09-14,47.03,essentials,
O00061,C0112,2025-08-14,190.38,pro,SPRING10
O00062,C0020,2025-03-30,49.43,pro,
O00063,C0008,2025-06-16,169.48,pro,
O00064,C0100,2025-02-24,214.08,essentials,
O00065,C0006,2025-02-20,130.71,pro,SPRING10
O00066,C0117,2025-02-02,116.4,pro,
O00067,C0066,2025-04-13,171.79,essentials,
O00068,C0062,2025-09-17,227.01,pro,NEWYEAR
O00069,C0119,2025-05-13,222.86,premium,
O00070,C0058,2025-03-12,110.49,essentials,
O00071,C0086,2025-05-04,113.09,essentials,
O00072,C0016,2025-03-21,226.57,pro,
O00073,C0033,2025-03-12,232.79,essentials,FRIEND20
O00074,C0051,2025-09-07,54.14,pro,
O00075,C0091,2025-08-09,238.68,essentials,
O00076,C0046,2025-06-13,38.47,essentials,
O00077,C0059,2025-08-14,174.1,essentials,
O00078,C0038,2025-09-20,231.29,essentials,NEWYEAR
O00079,C0030,2025-02-23,36.66,essentials,NEWYEAR
O00080,C0024,2025-05-19,185.78,pro,SPRING10
O00081,C0087,2025-05-13,108.12,pro,
O00082,C0064,2025-12-25,90.6,essentials,SPRING10
O00083,C0024,2025-08-06,216.75,essentials,
O00084,C0012,2025-05-14,36.59,premium,
O00085,C0111,2025-03-04,118.74,essentials,
O00086,C0119,2025-05-18,156.02,essentials,
O00087,C0015,2025-03-24,76.14,essentials,NEWYEAR
O00088,C0081,2025-06-06,135.9,essentials,
O00089,C0087,2025-04-02,78.06,pro,FRIEND20
O00090,C0005,2025-01-08,22.09,pro,FRIEND20
O00091,C0066,2025-09-01,72.54,essentials,
O00092,C0084,2025-08-10,163.75,pro,NEWYEAR
O00093,C0065,2025-06-07,170.68,premium,
O00094,C0107,2025-12-28,179.8,essentials,FRIEND20
O00095,C0007,2025-03-08,21.16,pro,NEWYEAR
O00096,C0056,2025-03-25,30.3,pro,
O00097,C0065,2025-12-10,233.55,pro,
O00098,C0006,2025-08-24,59.15,essentials,
O00099,C0047,2025-06-18,233.92,pro,
O00100,C0113,2025-06-08,66.37,essentials,
O00101,C0011,2025-09-01,79.92,pro,
O00102,C0100,2025-01-03,38.17,pro,
O00103,C0076,2025-01-22,105.46,essentials,
O00104,C0011,2025-10-27,230.6,premium,
O00105,C0115,2025-11-02,104.47,essentials,FRIEND20
O00106,C0020,2025-05-26,178.76,pro,
O00107,C0107,2025-09-20,157.27,pro,SPRING10
O00108,C0018,2025-09-26,185.14,pro,SPRING10
O00109,C0003,2025-12-18,147.66,premium,
O00110,C0089,2025-11-26,69.05,essentials,
O00111,C0047,2025-02-23,101.61,essentials,
O00112,C0003,2025-11-17,135.98,essentials,
O00113,C0059,2025-02-05,184.11,pro,
O00114,C0085,2025-09-27,32.66,pro,
O00115,C0010,2025-05-16,70.12,pro,
O00116,C0084,2025-08-24,127.66,essentials,
O00117,C0088,2025-05-28,188.27,pro,
O00118,C0010,2025-11-04,50.73,essentials,
O00119,C0039,2025-11-15,144.04,essentials,
O00120,C0035,2025-12-11,40.09,essentials,
O00121,C0091,2025-09-22,81.39,essentials,SPRING10
O00122,C0115,2025-10-09,62.23,premium,NEWYEAR
O00123,C0003,2025-05-29,119.89,pro,FRIEND20
O00124,C0058,2025-05-18,103.88,premium,NEWYEAR
O00125,C0010,2025-10-25,38.05,pro,
O00126,C0047,2025-03-09,151.95,pro,
O00127,C0015,2025-12-27,99.07,essentials,NEWYEAR
O00128,C0051,2025-01-13,53.31,premium,
O00129,C0052,2025-06-04,179.43,essentials,
O00130,C0016,2025-06-19,18.39,pro,SPRING10
O00131,C0016,2025-04-11,176.29,premium,
O00132,C0048,2025-02-03,105.22,premium,
O00133,C0047,2025-08-08,185.76,premium,
O00134,C0007,2025-12-05,81.41,premium,
O00135,C0035,2025-08-12,131.43,essentials,
O00136,C0055,2025-01-15,198.26,pro,NEWYEAR
O00137,C0071,2025-10-09,63.16,essentials,NEWYEAR
O00138,C0053,2025-08-19,154.51,essentials,NEWYEAR
O00139,C0063,2025-01-26,220.44,pro,
O00140,C0054,2025-06-25,80.55,essentials,
O00141,C0084,2025-05-14,108.18,essentials,
O00142,C0086,2025-07-21,44.58,pro,
O00143,C0065,2025-09-12,140.19,essentials,
O00144,C0098,2025-08-19,112.89,pro,
O00145,C0023,2025-06-25,141.4,essentials,
O00146,C0104,2025-10-19,62.88,essentials,NEWYEAR
