session_id,customer_id,session_date,channel,device,pages_viewed,converted
S000001,C0038,2025-05-21,referral,desktop,1,0
S000002,C0139,2025-10-11,organic_search,mobile,2,0
S000003,C0060,2025-06-08,email,desktop,2,0
S000004,C0099,2025-08-24,organic_search,mobile,4,0
S000005,,2025-07-23,email,desktop,5,0
S000006,C0151,2025-04-14,paid_search,mobile,2,0
S000007,C0093,2025-10-23,email,mobile,2,1
S000008,C0096,2025-02-24,organic_search,mobile,3,0
S000009,C0008,2025-06-26,organic_search,desktop,5,0
S000010,C0151,2025-10-18,paid_search,desktop,4,0
S000011,,2025-08-17,paid_social,desktop,5,0
S000012,,2025-04-13,referral,mobile,3,0
S000013,,2025-01-18,email,desktop,1,0
S000014,C0017,2025-11-03,email,desktop,5,0
S000015,,2025-06-13,email,desktop,6,0
S000016,C0115,2025-03-23,organic_search,mobile,3,0
S000017,,2025-05-12,direct,mobile,3,0
S000018,C0067,2025-09-20,paid_social,desktop,3,0
S000019,,2025-03-16,organic_search,mobile,5,0
S000020,C0113,2025-12-01,paid_search,mobile,7,0
S000021,,2025-09-04,organic_search,mobile,5,0
S000022,C0120,2025-04-10,paid_social,mobile,1,0
S000023,,2025-11-13,direct,desktop,5,0
S000024,,2025-07-17,paid_social,desktop,5,0
S000025,C0087,2025-06-15,paid_social,mobile,3,0
S000026,,2025-08-20,email,mobile,3,0
S000027,C0069,2025-08-03,organic_search,mobile,3,0
S000028,,2025-09-09,paid_search,mobile,7,0
S000029,C0040,2025-09-20,paid_search,desktop,3,0
S000030,,2025-05-12,paid_social,tablet,2,0
S000031,C0067,2025-05-03,direct,mobile,2,0
S000032,C0076,2025-03-15,referral,mobile,8,0
S000033,C0036,2025-08-15,paid_search,desktop,2,0
S000034,C0056,2025-05-22,email,mobile,3,0
S000035,C0183,2025-03-31,paid_search,mobile,6,0
S000036,,2025-04-16,paid_search,desktop,5,0
S000037,C0050,2025-10-26,organic_search,mobile,3,0
S000038,C0133,2025-06-27,organic_search,desktop,1,0
S000039,C0004,2025-07-29,direct,mobile,5,0
S000040,C0094,2025-01-19,paid_search,mobile,2,0
S000041,,2025-09-24,direct,tablet,5,0
S000042,,2025-06-14,paid_social,desktop,4,0
S000043,C0016,2025-05-30,direct,tablet,1,0
S000044,C0006,2025-05-05,referral,mobile,4,0
S000045,,2025-05-09,email,tablet,8,0
S000046,C0067,2025-01-10,paid_social,desktop,4,0
S000047,,2025-08-16,paid_search,desktop,3,0
S000048,,2025-09-10,email,desktop,3,0
S000049,,2025-03-04,organic_search,mobile,1,0
S000050,,2025-10-21,organic_search,mobile,1,0
S000051,C0005,2025-11-22,organic_search,mobile,5,0
S000052,C0199,2025-07-05,organic_search,mobile,1,0
S000053,C0145,2025-06-14,paid_social,desktop,6,0
S000054,C0064,2025-08-05,email,mobile,4,0
S000055,,2025-06-16,organic_search,mobile,5,0
S000056,C0199,2025-08-21,email,desktop,4,0
S000057,C0009,2025-11-25,email,desktop,1,0
S000058,,2025-02-21,organic_search,mobile,2,0
S000059,C0011,2025-05-28,paid_search,mobile,4,0
S000060,C0069,2025-02-13,organic_search,mobile,4,0
S000061,,2025-03-09,direct,desktop,2,0
S000062,C0190,2025-10-07,organic_search,mobile,3,0
S000063,,2025-07-17,paid_search,desktop,1,0
S000064,C0121,2025-06-08,paid_search,mobile,4,0
S000065,C0150,2025-07-22,paid_search,mobile,4,0
S000066,C0073,2025-04-21,organic_search,desktop,2,0
S000067,,2025-06-28,organic_search,mobile,2,0
S000068,C0028,2025-09-24,paid_search,tablet,5,0
S000069,,2025-06-22,email,mobile,4,0
S000070,,2025-09-23,paid_search,desktop,6,0
S000071,C0122,2025-05-18,paid_social,desktop,4,0
S000072,,2025-10-09,email,mobile,3,0
S000073,C0147,2025-03-18,organic_search,desktop,5,0
S000074,C0118,2025-05-28,paid_social,mobile,2,0
S000075,C0099,2025-11-28,organic_search,desktop,5,0
S000076,,2025-06-05,paid_social,mobile,2,0
S000077,C0060,2025-02-15,paid_social,mobile,6,0
S000078,C0110,2025-01-06,paid_search,mobile,3,0
S000079,,2025-10-02,paid_social,mobile,6,0
S000080,C0176,2025-08-09,organic_search,mobile,3,0
S000081,C0003,2025-12-13,paid_search,mobile,2,0
S000082,C0040,2025-04-07,referral,mobile,5,0
S000083,C0151,2025-06-25,email,desktop,5,0
S000084,,2025-06-09,organic_search,mobile,5,0
S000085,C0177,2025-06-25,paid_social,tablet,5,0
S000086,,2025-09-19,paid_search,desktop,2,0
S000087,C0016,2025-11-19,email,mobile,1,0
S000088,C0003,2025-01-02,organic_search,desktop,2,1
S000089,C0026,2025-10-28,paid_search,mobile,5,0
S000090,C0137,2025-09-21,referral,mobile,7,0
S000091,,2025-03-22,organic_search,mobile,4,0
S000092,C0126,2025-08-28,email,desktop,4,1
S000093,,2025-10-24,organic_search,desktop,3,0
S000094,,2025-02-20,direct,desktop,4,0
S000095,,2025-04-09,organic_search,mobile,7,0
S000096,C0012,2025-08-14,paid_search,mobile,5,0
S000097,,2025-10-28,direct,mobile,6,0
S000098,C0155,2025-05-10,referral,mobile,1,0
S000099,,2025-07-19,email,mobile,2,0
S000100,C0006,2025-05-05,paid_search,mobile,5,0
S000101,,2025-05-29,organic_search,mobile,1,0
S000102,C0167,2025-02-03,referral,mobile,7,0
S000103,C0100,2025-04-08,organic_search,mobile,2,1
S000104,C0062,2025-12-28,paid_search,mobile,4,0
S000105,C0143,2025-08-15,organic_search,desktop,4,0
S000106,C0162,2025-10-25,paid_search,tablet,5,0
S000107,,2025-08-20,email,desktop,6,0
S000108,C0095,2025-10-01,paid_search,desktop,3,0
S000109,C0032,2025-12-14,organic_search,mobile,3,0
S000110,C0146,2025-03-16,organic_search,mobile,7,0
S000111,,2025-04-29,organic_search,desktop,5,0
S000112,C0129,2025-06-02,paid_search,desktop,5,0
S000113,,2025-07-24,organic_search,mobile,6,0
S000114,C0034,2025-05-22,paid_search,mobile,2,0
S000115,C0106,2025-01-13,email,desktop,4,0
S000116,C0047,2025-05-30,paid_search,desktop,7,0
S000117,C0011,2025-07-27,paid_search,mobile,4,0
S000118,,2025-06-09,email,desktop,5,0
S000119,C0059,2025-10-19,organic_search,mobile,6,0
S000120,C0029,2025-12-02,organic_search,mobile,2,0
S000121,C0013,2025-05-06,email,mobile,2,0
S000122,C0107,2025-12-22,paid_social,tablet,7,0
S000123,,2025-09-27,paid_search,desktop,1,0
S000124,C0190,2025-12-19,paid_social,desktop,6,0
S000125,,2025-12-24,paid_search,desktop,5,0
S000126,C0049,2025-01-23,referral,desktop,1,0
S000127,,2025-03-25,referral,desktop,2,0
S000128,,2025-07-03,organic_search,mobile,3,0
S000129,C0036,2025-03-11,email,mobile,1,1
S000130,C0035,2025-11-25,organic_search,mobile,4,0
S000131,,2025-10-16,paid_search,desktop,5,0
S000132,C0174,2025-12-08,paid_search,tablet,5,0
S000133,C0053,2025-02-28,email,mobile,3,0
S000134,C0029,2025-12-26,organic_search,tablet,4,0
S000135,C0146,2025-07-05,organic_search,mobile,6,0
S000136,C0192,2025-06-19,referral,mobile,4,0
S000137,C0112,2025-09-08,paid_search,mobile,8,0
S000138,C0188,2025-12-01,email,desktop,4,1
S000139,C0007,2025-07-22,paid_social,mobile,5,0
S000140,C0044,2025-02-22,paid_social,desktop,6,0
S000141,C0048,2025-11-28,paid_social,mobile,2,0
S000142,C0062,2025-01-30,paid_search,mobile,5,0
S000143,C0181,2025-07-26,direct,desktop,1,0
S000144,,2025-10-25,email,mobile,4,0
S000145,,2025-03-12,organic_search,tablet,4,0
S000146,C0049,2025-04-22,paid_social,mobile,4,0
S000147,C0131,2025-08-06,paid_search,mobile,6,0
S000148,,2025-01-05,email,desktop,5,0
S000149,C0043,2025-07-13,organic_search,mobile,2,0
S000150,,2025-06-15,organic_search,mobile,3,0
S000151,C0161,2025-03-21,referral,tablet,1,0
S000152,C0156,2025-12-04,organic_search,mobile,1,0
S000153,C0166,2025-03-12,organic_search,mobile,4,0
S000154,C0115,2025-12-20,paid_search,desktop,3,0
S000155,C0107,2025-07-04,organic_search,mobile,3,0
S000156,C0141,2025-02-27,paid_search,desktop,4,0
S000157,,2025-12-10,organic_search,mobile,2,0
S000158,C0029,2025-09-20,direct,mobile,3,0
S000159,C0113,2025-03-10,direct,mobile,3,0
S000160,C0185,2025-09-21,paid_search,desktop,1,0
S000161,,2025-04-09,email,desktop,6,0
S000162,,2025-05-02,paid_search,mobile,6,0
S000163,C0055,2025-08-24,organic_search,desktop,1,0
S000164,C0145,2025-02-28,direct,desktop,5,0
S000165,C0088,2025-12-15,paid_search,mobile,4,0
S000166,C0126,2025-01-23,paid_social,mobile,6,0
S000167,C0155,2025-02-27,paid_search,desktop,4,0
S000168,,2025-10-25,organic_search,desktop,5,0
S000169,C0019,2025-05-13,paid_search,mobile,3,0
S000170,,2025-05-09,organic_search,desktop,6,0
S000171,C0114,2025-01-08,paid_search,tablet,1,1
S000172,C0020,2025-04-04,email,desktop,4,0
S000173,C0041,2025-12-21,paid_social,mobile,5,0
S000174,C0056,2025-06-09,direct,mobile,2,0
S000175,,2025-07-04,paid_social,mobile,1,0
S000176,C0086,2025-10-24,organic_search,mobile,4,0
S000177,C0156,2025-01-24,email,desktop,5,1
S000178,C0092,2025-10-19,email,mobile,5,0
S000179,C0144,2025-02-18,direct,desktop,2,0
S000180,,2025-05-02,direct,desktop,1,0
S000181,C0078,2025-06-24,paid_social,mobile,2,0
S000182,C0016,2025-12-27,organic_search,mobile,2,0
S000183,C0095,2025-05-05,paid_social,tablet,4,0
S000184,C0104,2025-08-17,organic_search,desktop,5,0
S000185,C0037,2025-06-04,paid_social,mobile,1,0
S000186,,2025-04-08,email,mobile,2,0
S000187,,2025-10-25,organic_search,mobile,7,0
S000188,C0018,2025-09-06,organic_search,mobile,3,0
S000189,C0195,2025-03-26,email,mobile,4,0
S000190,C0073,2025-09-14,email,mobile,4,0
S000191,C0154,2025-01-25,paid_search,desktop,5,0
S000192,,2025-10-02,email,mobile,2,0
S000193,C0008,2025-04-19,organic_search,desktop,6,0
S000194,C0045,2025-01-30,direct,desktop,4,0
S000195,C0199,2025-09-11,referral,mobile,7,1
S000196,C0168,2025-06-10,paid_search,desktop,2,0
S000197,C0024,2025-01-10,paid_search,mobile,4,0
S000198,C0138,2025-12-15,email,mobile,3,0
S000199,C0085,2025-04-28,paid_social,mobile,3,0
S000200,C0198,2025-10-09,referral,mobile,1,0
S000201,C0071,2025-03-09,organic_search,mobile,6,0
S000202,,2025-11-18,paid_search,desktop,6,0
S000203,,2025-01-15,email,mobile,2,0
S000204,C0067,2025-11-07,organic_search,mobile,3,0
S000205,C0200,2025-03-24,organic_search,mobile,3,0
S000206,,2025-06-26,direct,mobile,1,0
S000207,,2025-01-14,paid_search,desktop,6,0
S000208,C0090,2025-01-31,paid_search,mobile,5,0
S000209,C0169,2025-11-18,direct,mobile,7,0
S000210,C0084,2025-08-06,email,mobile,4,0
S000211,,2025-10-19,paid_social,mobile,7,0
S000212,C0035,2025-06-03,organic_search,mobile,2,0
S000213,C0042,2025-06-13,email,mobile,1,0
S000214,,2025-07-04,paid_search,desktop,4,0
S000215,C0112,2025-03-13,referral,mobile,4,0
S000216,,2025-06-04,paid_search,desktop,4,0
S000217,,2025-03-28,organic_search,mobile,1,0
S000218,C0102,2025-06-21,referral,mobile,5,0
S000219,C0177,2025-01-08,paid_search,mobile,4,0
S000220,,2025-06-12,paid_search,mobile,6,0
S000221,C0035,2025-09-27,organic_search,mobile,3,0
S000222,C0029,2025-09-29,organic_search,mobile,2,0
S000223,C0056,2025-04-25,paid_social,mobile,4,0
